ruler,config,block_id,chapter_id,side,role,term_ids,form,start,end,surface,credited,context
gold,S1,d2l_preliminaries_calculus_b051,d2l_preliminaries,target,shadow,gold:dimension,chiều,34,39,chiều,false,"Cho $
mathbf{x}$ là một vectơ $n$ [[chiều]], các quy tắc sau thường được dùng khi đạo hàm các hàm nhiều biến:"
gold,S1,d2l_preliminaries_calculus_b053,d2l_preliminaries,source,denominator,gold:deep learning,deep learning,189,202,deep learning,true," later, gradients are useful for designing optimization algorithms in [[deep learning]]."
gold,S1,d2l_preliminaries_calculus_b053,d2l_preliminaries,target,active,gold:deep learning,học sâu,211,218,học sâu,true,radient rất hữu ích cho việc thiết kế các thuật toán tối ưu hóa trong [[học sâu]].
gold,S1,d2l_preliminaries_calculus_b054,d2l_preliminaries,source,denominator,gold:chain rule,chain rule,3,13,Chain Rule,true,## [[Chain Rule]]
gold,S1,d2l_preliminaries_calculus_b054,d2l_preliminaries,target,active,gold:chain rule,quy tắc dây chuyền,3,21,Quy tắc dây chuyền,true,## [[Quy tắc dây chuyền]]
gold,S1,d2l_preliminaries_calculus_b055,d2l_preliminaries,source,denominator,gold:deep learning,deep learning,87,100,deep learning,true,"dients can be hard to find.
This is because multivariate functions in [[deep learning]] are often *composite*,
so we may not apply any of the aforementioned "
gold,S1,d2l_preliminaries_calculus_b055,d2l_preliminaries,source,denominator,gold:chain rule,chain rule,228,238,chain rule,true,"rementioned rules to differentiate these functions.
Fortunately, the *[[chain rule]]* enables us to differentiate composite functions."
gold,S1,d2l_preliminaries_calculus_b055,d2l_preliminaries,target,active,gold:deep learning,học sâu,90,97,học sâu,true,"dient như vậy có thể khó tìm. Điều này là do các hàm nhiều biến trong [[học sâu]] thường là *hàm hợp*, nên ta có thể không áp dụng được bất kỳ quy tắc "
gold,S1,d2l_preliminaries_calculus_b055,d2l_preliminaries,target,active,gold:chain rule,quy tắc dây chuyền,224,242,quy tắc dây chuyền,true,"t kỳ quy tắc nào đã nêu ở trên để đạo hàm các hàm này. May mắn thay, *[[quy tắc dây chuyền]]* cho phép chúng ta đạo hàm các hàm hợp."
gold,S1,d2l_preliminaries_calculus_b056,d2l_preliminaries,source,denominator,gold:differentiable,differentiable,108,122,differentiable,true,"ingle variable.
Suppose that functions $y=f(u)$ and $u=g(x)$ are both [[differentiable]], then the chain rule states that"
gold,S1,d2l_preliminaries_calculus_b056,d2l_preliminaries,source,denominator,gold:chain rule,chain rule,133,143,chain rule,true,"hat functions $y=f(u)$ and $u=g(x)$ are both differentiable, then the [[chain rule]] states that"
gold,S1,d2l_preliminaries_calculus_b056,d2l_preliminaries,target,active,gold:differentiable,khả vi,85,91,khả vi,true,"ét các hàm của một biến. Giả sử rằng các hàm $y=f(u)$ và $u=g(x)$ đều [[khả vi]], thì quy tắc dây chuyền phát biểu rằng"
gold,S1,d2l_preliminaries_calculus_b056,d2l_preliminaries,target,active,gold:chain rule,quy tắc dây chuyền,97,115,quy tắc dây chuyền,true,"ủa một biến. Giả sử rằng các hàm $y=f(u)$ và $u=g(x)$ đều khả vi, thì [[quy tắc dây chuyền]] phát biểu rằng"
gold,S1,d2l_preliminaries_calculus_b058,d2l_preliminaries,source,denominator,gold:differentiable,differentiable,129,143,differentiable,true,"ere functions have an arbitrary number of variables.
Suppose that the [[differentiable]] function $y$ has variables
$u_1, u_2, \ldots, u_m$, where each differ"
gold,S1,d2l_preliminaries_calculus_b058,d2l_preliminaries,source,denominator,gold:differentiable,differentiable,207,221,differentiable,true,"tiable function $y$ has variables
$u_1, u_2, \ldots, u_m$, where each [[differentiable]] function $u_i$
has variables $x_1, x_2, \ldots, x_n$.
Note that $y$ i"
gold,S1,d2l_preliminaries_calculus_b058,d2l_preliminaries,source,denominator,gold:chain rule,chain rule,341,351,chain rule,true,"_n$.
Note that $y$ is a function of $x_1, x_2, \ldots, x_n$.
Then the [[chain rule]] gives"
gold,S1,d2l_preliminaries_calculus_b058,d2l_preliminaries,target,active,gold:chain rule,quy tắc dây chuyền,307,325,quy tắc dây chuyền,true,", x_n$. Lưu ý rằng $y$ là một hàm của $x_1, x_2, \ldots, x_n$. Khi đó [[quy tắc dây chuyền]] cho ta"
gold,S1,d2l_preliminaries_calculus_b062,d2l_preliminaries,source,denominator,gold:deep learning,deep learning,151,164,deep learning,true," the former can be applied to the ubiquitous optimization problems in [[deep learning]].
* A derivative can be interpreted as the instantaneous rate of chang"
gold,S1,d2l_preliminaries_calculus_b062,d2l_preliminaries,source,denominator,gold:vector,vector,369,375,vector,true,"e of the tangent line to the curve of the function.
* A gradient is a [[vector]] whose components are the partial derivatives of a multivariate functi"
gold,S1,d2l_preliminaries_calculus_b062,d2l_preliminaries,source,denominator,gold:chain rule,chain rule,489,499,chain rule,true,"s of a multivariate function with respect to all its variables.
* The [[chain rule]] enables us to differentiate composite functions."
gold,S1,d2l_preliminaries_calculus_b062,d2l_preliminaries,target,active,gold:deep learning,học sâu,155,162,học sâu,true, trước có thể được áp dụng cho các bài toán tối ưu hóa phổ biến trong [[học sâu]]. * Một đạo hàm có thể được hiểu là tốc độ thay đổi tức thời của một h
gold,S1,d2l_preliminaries_calculus_b062,d2l_preliminaries,target,active,gold:chain rule,quy tắc dây chuyền,433,451,Quy tắc dây chuyền,true,c đạo hàm riêng của một hàm nhiều biến theo tất cả các biến của nó. * [[Quy tắc dây chuyền]] cho phép chúng ta lấy đạo hàm của các hàm hợp.
gold,S1,d2l_preliminaries_calculus_b064,d2l_preliminaries,source,denominator,gold:chain rule,chain rule,262,272,chain rule,true,"function $f(\mathbf{x}) = \|\mathbf{x}\|_2$?
1. Can you write out the [[chain rule]] for the case where $u = f(x, y, z)$ and $x = x(a, b)$, $y = y(a, b)$,"
gold,S1,d2l_preliminaries_calculus_b064,d2l_preliminaries,target,active,gold:chain rule,quy tắc dây chuyền,233,251,quy tắc dây chuyền,true,"a hàm $f(\mathbf{x}) = \|\mathbf{x}\|_2$ là gì? 1. Bạn có thể viết ra [[quy tắc dây chuyền]] cho trường hợp $u = f(x, y, z)$ và $x = x(a, b)$, $y = y(a, b)$, và $"
gold,S1,d2l_preliminaries_autograd_b001,d2l_preliminaries,source,denominator,gold:automatic differentiation,automatic differentiation,2,27,Automatic Differentiation,true,"# [[Automatic Differentiation]]
:label:`sec_autograd`"
gold,S1,d2l_preliminaries_autograd_b001,d2l_preliminaries,target,active,gold:automatic differentiation,tự động vi phân,2,17,Tự động vi phân,true,# [[Tự động vi phân]] :label:`sec_autograd`
gold,S1,d2l_preliminaries_autograd_b002,d2l_preliminaries,source,denominator,gold:deep learning,deep learning,96,109,deep learning,true,"umref:`sec_calculus`,
differentiation is a crucial step in nearly all [[deep learning]] optimization algorithms.
While the calculations for taking these deri"
gold,S1,d2l_preliminaries_autograd_b002,d2l_preliminaries,target,active,gold:deep learning,học sâu,127,134,học sâu,true,"đạo hàm là một bước then chốt trong hầu hết các thuật toán tối ưu hóa [[học sâu]]. Mặc dù việc tính các đạo hàm này khá trực tiếp, chỉ cần một số kiến "
gold,S1,d2l_preliminaries_autograd_b002,d2l_preliminaries,target,shadow,gold:model,mô hình,239,246,mô hình,false,"khá trực tiếp, chỉ cần một số kiến thức giải tích cơ bản, đối với các [[mô hình]] phức tạp, việc tự tay tính các cập nhật có thể rất khó chịu (và thườn"
gold,S1,d2l_preliminaries_autograd_b003,d2l_preliminaries,source,denominator,gold:deep learning,deep learning,0,13,Deep learning,true,"[[Deep learning]] frameworks expedite this work
by automatically calculating derivative"
gold,S1,d2l_preliminaries_autograd_b003,d2l_preliminaries,source,denominator,gold:automatic differentiation,automatic differentiation,93,118,automatic differentiation,true,"s expedite this work
by automatically calculating derivatives, i.e., *[[automatic differentiation]]*.
In practice,
based on our designed model
the system builds a *compu"
gold,S1,d2l_preliminaries_autograd_b003,d2l_preliminaries,source,denominator,gold:automatic differentiation,automatic differentiation,282,307,Automatic differentiation,true,"g which data combined through
which operations to produce the output.
[[Automatic differentiation]] enables the system to subsequently backpropagate gradients.
Here, *ba"
gold,S1,d2l_preliminaries_autograd_b003,d2l_preliminaries,source,denominator,gold:model,model,156,161,model,true,"i.e., *automatic differentiation*.
In practice,
based on our designed [[model]]
the system builds a *computational graph*,
tracking which data combin"
gold,S1,d2l_preliminaries_autograd_b003,d2l_preliminaries,source,denominator,gold:computational graph,computational graph,183,202,computational graph,true,"ation*.
In practice,
based on our designed model
the system builds a *[[computational graph]]*,
tracking which data combined through
which operations to produce th"
gold,S1,d2l_preliminaries_autograd_b003,d2l_preliminaries,source,denominator,gold:computational graph,computational graph,424,443,computational graph,true,"te gradients.
Here, *backpropagate* simply means to trace through the [[computational graph]],
filling in the partial derivatives with respect to each parameter."
gold,S1,d2l_preliminaries_autograd_b003,d2l_preliminaries,source,denominator,gold:data,data,220,224,data,true,"igned model
the system builds a *computational graph*,
tracking which [[data]] combined through
which operations to produce the output.
Automatic di"
gold,S1,d2l_preliminaries_autograd_b003,d2l_preliminaries,target,active,gold:deep learning,học sâu,10,17,học sâu,true,"Các khung [[học sâu]] đẩy nhanh công việc này bằng cách tự động tính các đạo hàm, tức là *t"
gold,S1,d2l_preliminaries_autograd_b003,d2l_preliminaries,target,active,gold:automatic differentiation,tự động vi phân,86,101,tự động vi phân,true,"u đẩy nhanh công việc này bằng cách tự động tính các đạo hàm, tức là *[[tự động vi phân]]*. Trong thực tế, dựa trên mô hình do chúng ta thiết kế, hệ thống xây "
gold,S1,d2l_preliminaries_autograd_b003,d2l_preliminaries,target,active,gold:model,mô hình,128,135,mô hình,true,"g tính các đạo hàm, tức là *tự động vi phân*. Trong thực tế, dựa trên [[mô hình]] do chúng ta thiết kế, hệ thống xây dựng một *đồ thị tính toán*, theo "
gold,S1,d2l_preliminaries_autograd_b003,d2l_preliminaries,target,active,gold:computational graph,đồ thị tính toán,181,197,đồ thị tính toán,true,"hực tế, dựa trên mô hình do chúng ta thiết kế, hệ thống xây dựng một *[[đồ thị tính toán]]*, theo dõi dữ liệu nào được kết hợp qua những phép toán nào để tạo ra"
gold,S1,d2l_preliminaries_autograd_b003,d2l_preliminaries,target,active,gold:data,dữ liệu,209,216,dữ liệu,true,"chúng ta thiết kế, hệ thống xây dựng một *đồ thị tính toán*, theo dõi [[dữ liệu]] nào được kết hợp qua những phép toán nào để tạo ra đầu ra. Tự động vi"
gold,S1,d2l_preliminaries_autograd_b003,d2l_preliminaries,target,active,gold:automatic differentiation,tự động vi phân,276,291,Tự động vi phân,true,"õi dữ liệu nào được kết hợp qua những phép toán nào để tạo ra đầu ra. [[Tự động vi phân]] cho phép hệ thống sau đó truy vết ngược gradient. Ở đây, *truy vết ng"
gold,S1,d2l_preliminaries_autograd_b003,d2l_preliminaries,target,active,gold:computational graph,đồ thị tính toán,396,412,đồ thị tính toán,true,"ngược gradient. Ở đây, *truy vết ngược* đơn giản có nghĩa là lần theo [[đồ thị tính toán]], điền các đạo hàm riêng theo từng tham số."
gold,S1,d2l_preliminaries_autograd_b004,d2l_preliminaries,source,denominator,gold:example,example,12,19,Example,true,## A Simple [[Example]]
gold,S1,d2l_preliminaries_autograd_b005,d2l_preliminaries,source,denominator,gold:example,example,9,16,example,true,"As a toy [[example]], say that we are interested
in (**differentiating the function
$y = 2"
gold,S1,d2l_preliminaries_autograd_b005,d2l_preliminaries,source,denominator,gold:vector,vector,142,148,vector,true,"unction
$y = 2\mathbf{x}^{\top}\mathbf{x}$
with respect to the column [[vector]] $\mathbf{x}$.**)
To start, let us create the variable `x` and assign "
gold,S1,d2l_preliminaries_autograd_b005,d2l_preliminaries,source,denominator,gold:value,value,232,237,value,true,"**)
To start, let us create the variable `x` and assign it an initial [[value]]."
gold,S1,d2l_preliminaries_autograd_b005,d2l_preliminaries,target,active,gold:value,giá trị,195,202,giá trị,true," cột $\mathbf{x}$.**) Để bắt đầu, hãy tạo biến `x` và gán cho nó một [[giá trị]] ban đầu."
gold,S1,d2l_preliminaries_autograd_b009,d2l_preliminaries,source,denominator,gold:scalar,scalar,369,375,scalar,true," times
and could quickly run out of memory.
Note that a gradient of a [[scalar]]-valued function
with respect to a vector $\mathbf{x}$
is itself vecto"
gold,S1,d2l_preliminaries_autograd_b009,d2l_preliminaries,source,denominator,gold:vector,vector,410,416,vector,true,"y.
Note that a gradient of a scalar-valued function
with respect to a [[vector]] $\mathbf{x}$
is itself vector-valued and has the same shape as $\math"
gold,S1,d2l_preliminaries_autograd_b009,d2l_preliminaries,source,denominator,gold:vector,vector,440,446,vector,true,"calar-valued function
with respect to a vector $\mathbf{x}$
is itself [[vector]]-valued and has the same shape as $\mathbf{x}$."
gold,S1,d2l_preliminaries_autograd_b009,d2l_preliminaries,target,shadow,gold:value,giá trị,355,362,giá trị,false,à có thể nhanh chóng hết bộ nhớ. Lưu ý rằng gradient của một hàm nhận [[giá trị]] vô hướng theo một vectơ $\mathbf{x}$ bản thân nó là có giá trị vecto
gold,S1,d2l_preliminaries_autograd_b009,d2l_preliminaries,target,shadow,gold:value,giá trị,419,426,giá trị,false, nhận giá trị vô hướng theo một vectơ $\mathbf{x}$ bản thân nó là có [[giá trị]] vector và có cùng hình dạng với $\mathbf{x}$. 
gold,S1,d2l_preliminaries_autograd_b009,d2l_preliminaries,target,active,gold:vector,vector,427,433,vector,true,á trị vô hướng theo một vectơ $\mathbf{x}$ bản thân nó là có giá trị [[vector]] và có cùng hình dạng với $\mathbf{x}$. 
gold,S1,d2l_preliminaries_autograd_b017,d2l_preliminaries,source,denominator,gold:vector,vector,15,21,vector,true,"Since `x` is a [[vector]] of length 4,
an dot product of `x` and `x` is performed,
yielding the"
gold,S1,d2l_preliminaries_autograd_b017,d2l_preliminaries,source,denominator,gold:dot product,dot product,38,49,dot product,true,"Since `x` is a vector of length 4,
an [[dot product]] of `x` and `x` is performed,
yielding the scalar output that we assig"
gold,S1,d2l_preliminaries_autograd_b017,d2l_preliminaries,source,denominator,gold:scalar,scalar,92,98,scalar,true,"of length 4,
an dot product of `x` and `x` is performed,
yielding the [[scalar]] output that we assign to `y`.
Next, [**we can automatically calculate"
gold,S1,d2l_preliminaries_autograd_b017,d2l_preliminaries,source,denominator,gold:backpropagation,backpropagation,258,273,backpropagation,true,"
with respect to each component of `x`**]
by calling the function for [[backpropagation]] and printing the gradient."
gold,S1,d2l_preliminaries_autograd_b017,d2l_preliminaries,target,active,gold:dot product,tích vô hướng,50,63,tích vô hướng,true,"Vì `x` là một vectơ có độ dài 4, ta thực hiện một [[tích vô hướng]] của `x` và `x`, thu được đầu ra vô hướng mà ta gán cho `y`. Tiếp theo"
gold,S1,d2l_preliminaries_autograd_b017,d2l_preliminaries,target,active,gold:backpropagation,lan truyền ngược,232,248,lan truyền ngược,true,radient của `y` theo từng thành phần của `x`**] bằng cách gọi hàm cho [[lan truyền ngược]] và in gradient.
gold,S1,d2l_preliminaries_autograd_b029,d2l_preliminaries,source,denominator,gold:scalar,scalar,20,26,Scalar,true,## Backward for Non-[[Scalar]] Variables
gold,S1,d2l_preliminaries_autograd_b029,d2l_preliminaries,target,shadow,gold:backpropagation,lan truyền ngược,3,19,Lan truyền ngược,false,## [[Lan truyền ngược]] cho các biến không vô hướng
gold,S1,d2l_preliminaries_autograd_b030,d2l_preliminaries,source,denominator,gold:scalar,scalar,31,37,scalar,true,"Technically, when `y` is not a [[scalar]],
the most natural interpretation of the differentiation of a vector `"
gold,S1,d2l_preliminaries_autograd_b030,d2l_preliminaries,source,denominator,gold:vector,vector,99,105,vector,true,"a scalar,
the most natural interpretation of the differentiation of a [[vector]] `y`
with respect to a vector `x` is a matrix.
For higher-order and hi"
gold,S1,d2l_preliminaries_autograd_b030,d2l_preliminaries,source,denominator,gold:vector,vector,128,134,vector,true,"terpretation of the differentiation of a vector `y`
with respect to a [[vector]] `x` is a matrix.
For higher-order and higher-dimensional `y` and `x`,"
gold,S1,d2l_preliminaries_autograd_b030,d2l_preliminaries,target,shadow,gold:dimension,chiều,184,189,chiều,false,"heo một vectơ `x` là một ma trận. Với `y` và `x` bậc cao hơn và nhiều [[chiều]] hơn, kết quả đạo hàm có thể là một tensor bậc k cao."
gold,S1,d2l_preliminaries_autograd_b031,d2l_preliminaries,source,denominator,gold:machine learning,machine learning,64,80,machine learning,true,"However, while these more exotic objects do show up
in advanced [[machine learning]] (including [**in deep learning**]),
more often (**when we are calling"
gold,S1,d2l_preliminaries_autograd_b031,d2l_preliminaries,source,denominator,gold:deep learning,deep learning,98,111,deep learning,true,"otic objects do show up
in advanced machine learning (including [**in [[deep learning]]**]),
more often (**when we are calling backward on a vector,**)
we ar"
gold,S1,d2l_preliminaries_autograd_b031,d2l_preliminaries,source,denominator,gold:vector,vector,165,171,vector,true,"in deep learning**]),
more often (**when we are calling backward on a [[vector]],**)
we are trying to calculate the derivatives of the loss functions
"
gold,S1,d2l_preliminaries_autograd_b031,d2l_preliminaries,source,denominator,gold:batch,batch,268,273,batch,true,"late the derivatives of the loss functions
for each constituent of a *[[batch]]* of training examples.
Here, (**our intent is**) not to calculate the"
gold,S1,d2l_preliminaries_autograd_b031,d2l_preliminaries,source,denominator,gold:batch,batch,465,470,batch,true," partial derivatives
computed individually for each example**) in the [[batch]]."
gold,S1,d2l_preliminaries_autograd_b031,d2l_preliminaries,source,denominator,gold:example,example,447,454,example,true," (**the sum of the partial derivatives
computed individually for each [[example]]**) in the batch."
gold,S1,d2l_preliminaries_autograd_b031,d2l_preliminaries,target,active,gold:machine learning,học máy,66,73,học máy,true,"Tuy nhiên, mặc dù những đối tượng “lạ” hơn này có xuất hiện trong [[học máy]] nâng cao (bao gồm [**trong học sâu**]), thường hơn (**khi chúng ta gọ"
gold,S1,d2l_preliminaries_autograd_b031,d2l_preliminaries,target,active,gold:deep learning,học sâu,101,108,học sâu,true,"ng “lạ” hơn này có xuất hiện trong học máy nâng cao (bao gồm [**trong [[học sâu]]**]), thường hơn (**khi chúng ta gọi backward trên một vectơ,**) chúng"
gold,S1,d2l_preliminaries_autograd_b031,d2l_preliminaries,target,shadow,gold:loss function,hàm mất mát,215,226,hàm mất mát,false,"backward trên một vectơ,**) chúng ta đang cố tính các đạo hàm của các [[hàm mất mát]] cho từng phần tử cấu thành của một *lô* các ví dụ huấn luyện. Ở đây, "
gold,S1,d2l_preliminaries_autograd_b031,d2l_preliminaries,target,active,gold:batch,lô,263,265,lô,true,"h các đạo hàm của các hàm mất mát cho từng phần tử cấu thành của một *[[lô]]* các ví dụ huấn luyện. Ở đây, (**mục đích của chúng ta là**) không ph"
gold,S1,d2l_preliminaries_autograd_b031,d2l_preliminaries,target,active,gold:batch,lô,431,433,lô,true, là (**tổng các đạo hàm riêng được tính riêng cho từng ví dụ**) trong [[lô]].
gold,S1,d2l_preliminaries_autograd_b036,d2l_preliminaries,source,denominator,gold:computational graph,computational graph,72,91,computational graph,true,"metimes, we wish to [**move some calculations
outside of the recorded [[computational graph]].**]
For example, say that `y` was calculated as a function of `x`,
an"
gold,S1,d2l_preliminaries_autograd_b036,d2l_preliminaries,source,denominator,gold:example,example,100,107,example,true,"some calculations
outside of the recorded computational graph.**]
For [[example]], say that `y` was calculated as a function of `x`,
and that subsequen"
gold,S1,d2l_preliminaries_autograd_b036,d2l_preliminaries,target,active,gold:computational graph,đồ thị tính toán,56,72,đồ thị tính toán,true,"Đôi khi, chúng ta muốn [**đưa một số phép tính ra ngoài [[đồ thị tính toán]] đã được ghi lại.**] Ví dụ, giả sử rằng `y` được tính như một hàm của "
gold,S1,d2l_preliminaries_autograd_b037,d2l_preliminaries,source,denominator,gold:value,value,71,76,value,true,"ere, we can detach `y` to return a new variable `u`
that has the same [[value]] as `y` but discards any information
about how `y` was computed in the"
gold,S1,d2l_preliminaries_autograd_b037,d2l_preliminaries,source,denominator,gold:computational graph,computational graph,147,166,computational graph,true,"as `y` but discards any information
about how `y` was computed in the [[computational graph]].
In other words, the gradient will not flow backwards through `u` to "
gold,S1,d2l_preliminaries_autograd_b037,d2l_preliminaries,source,denominator,gold:backpropagation,backpropagation,261,276,backpropagation,true,"dient will not flow backwards through `u` to `x`.
Thus, the following [[backpropagation]] function computes
the partial derivative of `z = u * x` with respect "
gold,S1,d2l_preliminaries_autograd_b037,d2l_preliminaries,target,active,gold:computational graph,đồ thị tính toán,33,49,đồ thị tính toán,true,"Ở đây, chúng ta có thể tách khỏi [[đồ thị tính toán]] `y` để trả về một biến mới `u` có cùng giá trị với `y` nhưng loại bỏ "
gold,S1,d2l_preliminaries_autograd_b037,d2l_preliminaries,target,active,gold:value,giá trị,89,96,giá trị,true,thể tách khỏi đồ thị tính toán `y` để trả về một biến mới `u` có cùng [[giá trị]] với `y` nhưng loại bỏ mọi thông tin về cách `y` được tính trong đồ th
gold,S1,d2l_preliminaries_autograd_b037,d2l_preliminaries,target,active,gold:computational graph,đồ thị tính toán,161,177,đồ thị tính toán,false,"á trị với `y` nhưng loại bỏ mọi thông tin về cách `y` được tính trong [[đồ thị tính toán]]. Nói cách khác, gradient sẽ không lan truyền ngược qua `u` đến `x`. D"
gold,S1,d2l_preliminaries_autograd_b037,d2l_preliminaries,target,active,gold:backpropagation,lan truyền ngược,212,228,lan truyền ngược,true,"y` được tính trong đồ thị tính toán. Nói cách khác, gradient sẽ không [[lan truyền ngược]] qua `u` đến `x`. Do đó, hàm lan truyền ngược sau đây tính đạo hàm riê"
gold,S1,d2l_preliminaries_autograd_b037,d2l_preliminaries,target,active,gold:backpropagation,lan truyền ngược,257,273,lan truyền ngược,false," khác, gradient sẽ không lan truyền ngược qua `u` đến `x`. Do đó, hàm [[lan truyền ngược]] sau đây tính đạo hàm riêng của `z = u * x` theo `x` trong khi coi `u`"
gold,S1,d2l_preliminaries_autograd_b041,d2l_preliminaries,source,denominator,gold:backpropagation,backpropagation,70,85,backpropagation,true,"Since the computation of `y` was recorded,
we can subsequently invoke [[backpropagation]] on `y` to get the derivative of `y = x * x` with respect to `x`, whic"
gold,S1,d2l_preliminaries_autograd_b041,d2l_preliminaries,target,active,gold:backpropagation,lan truyền ngược,65,81,lan truyền ngược,true,"Vì phép tính của `y` đã được ghi lại, chúng ta có thể sau đó gọi [[lan truyền ngược]] trên `y` để lấy đạo hàm của `y = x * x` theo `x`, tức là `2 * x`."
gold,S1,d2l_preliminaries_autograd_b046,d2l_preliminaries,source,denominator,gold:automatic differentiation,automatic differentiation,21,46,automatic differentiation,true,"One benefit of using [[automatic differentiation]]
is that [**even if**] building the computational graph of (**a functi"
gold,S1,d2l_preliminaries_autograd_b046,d2l_preliminaries,source,denominator,gold:computational graph,computational graph,82,101,computational graph,true,"of using automatic differentiation
is that [**even if**] building the [[computational graph]] of (**a function
required passing through a maze of Python control fl"
gold,S1,d2l_preliminaries_autograd_b046,d2l_preliminaries,source,denominator,gold:value,value,446,451,value,true,"ile` loop
and the evaluation of the `if` statement
both depend on the [[value]] of the input `a`."
gold,S1,d2l_preliminaries_autograd_b046,d2l_preliminaries,target,active,gold:automatic differentiation,tự động vi phân,29,44,tự động vi phân,true,Một lợi ích của việc sử dụng [[tự động vi phân]] là [**ngay cả khi**] việc xây dựng đồ thị tính toán của (**một hàm đò
gold,S1,d2l_preliminaries_autograd_b046,d2l_preliminaries,target,active,gold:computational graph,đồ thị tính toán,80,96,đồ thị tính toán,true,h của việc sử dụng tự động vi phân là [**ngay cả khi**] việc xây dựng [[đồ thị tính toán]] của (**một hàm đòi hỏi phải đi qua mê cung của luồng điều khiển Pytho
gold,S1,d2l_preliminaries_autograd_b046,d2l_preliminaries,target,active,gold:value,giá trị,409,416,giá trị,true,của vòng lặp `while` và việc đánh giá câu lệnh `if` đều phụ thuộc vào [[giá trị]] của đầu vào `a`.
gold,S1,d2l_preliminaries_autograd_b054,d2l_preliminaries,source,denominator,gold:linear,linear,77,83,linear,true,"now analyze the `f` function defined above.
Note that it is piecewise [[linear]] in its input `a`.
In other words, for any `a` there exists some const"
gold,S1,d2l_preliminaries_autograd_b054,d2l_preliminaries,source,denominator,gold:scalar,scalar,157,163,scalar,true,"its input `a`.
In other words, for any `a` there exists some constant [[scalar]] `k`
such that `f(a) = k * a`, where the value of `k` depends on the i"
gold,S1,d2l_preliminaries_autograd_b054,d2l_preliminaries,source,denominator,gold:value,value,204,209,value,true,"e exists some constant scalar `k`
such that `f(a) = k * a`, where the [[value]] of `k` depends on the input `a`.
Consequently `d / a` allows us to ve"
gold,S1,d2l_preliminaries_autograd_b054,d2l_preliminaries,target,active,gold:linear,tuyến tính,83,93,tuyến tính,true," ta có thể phân tích hàm `f` được định nghĩa ở trên. Lưu ý rằng nó là [[tuyến tính]] từng đoạn theo đầu vào `a`. Nói cách khác, với mọi `a` đều tồn tại mộ"
gold,S1,d2l_preliminaries_autograd_b054,d2l_preliminaries,target,active,gold:value,giá trị,216,223,giá trị,true,"a` đều tồn tại một vô hướng hằng `k` sao cho `f(a) = k * a`, trong đó [[giá trị]] của `k` phụ thuộc vào đầu vào `a`. Do đó `d / a` cho phép chúng ta xá"
gold,S1,d2l_preliminaries_autograd_b059,d2l_preliminaries,source,denominator,gold:deep learning,deep learning,2,15,Deep learning,true,"* [[Deep learning]] frameworks can automate the calculation of derivatives. To use it, we"
gold,S1,d2l_preliminaries_autograd_b059,d2l_preliminaries,source,denominator,gold:value,value,226,231,value,true,"ire partial derivatives. We then record the computation of our target [[value]], execute its function for backpropagation, and access the resulting g"
gold,S1,d2l_preliminaries_autograd_b059,d2l_preliminaries,source,denominator,gold:backpropagation,backpropagation,258,273,backpropagation,true," record the computation of our target value, execute its function for [[backpropagation]], and access the resulting gradient."
gold,S1,d2l_preliminaries_autograd_b059,d2l_preliminaries,target,active,gold:deep learning,học sâu,10,17,học sâu,true,"Các khung [[học sâu]] có thể tự động hóa việc tính toán các đạo hàm. Để sử dụng nó, trước h"
gold,S1,d2l_preliminaries_autograd_b059,d2l_preliminaries,target,active,gold:value,giá trị,215,222,giá trị,true,"a muốn tính các đạo hàm riêng. Sau đó, chúng ta ghi lại phép tính của [[giá trị]] mục tiêu, thực thi hàm của nó để lan truyền ngược, và truy cập gradie"
gold,S1,d2l_preliminaries_autograd_b059,d2l_preliminaries,target,active,gold:backpropagation,lan truyền ngược,256,272,lan truyền ngược,true,"úng ta ghi lại phép tính của giá trị mục tiêu, thực thi hàm của nó để [[lan truyền ngược]], và truy cập gradient thu được."
gold,S1,d2l_preliminaries_autograd_b061,d2l_preliminaries,source,denominator,gold:backpropagation,backpropagation,124,139,backpropagation,true," compute than the first derivative?
1. After running the function for [[backpropagation]], immediately run it again and see what happens.
1. In the control flo"
gold,S1,d2l_preliminaries_autograd_b061,d2l_preliminaries,source,denominator,gold:example,example,211,218,example,true,"immediately run it again and see what happens.
1. In the control flow [[example]] where we calculate the derivative of `d` with respect to `a`, what wo"
gold,S1,d2l_preliminaries_autograd_b061,d2l_preliminaries,source,denominator,gold:example,example,502,509,example,true,"r. What happens to the result? How do we analyze this?
1. Redesign an [[example]] of finding the gradient of the control flow. Run and analyze the resu"
gold,S1,d2l_preliminaries_autograd_b061,d2l_preliminaries,source,denominator,gold:vector,vector,342,348,vector,true," to `a`, what would happen if we changed the variable `a` to a random [[vector]] or matrix. At this point, the result of the calculation `f(a)` is no "
gold,S1,d2l_preliminaries_autograd_b061,d2l_preliminaries,source,denominator,gold:scalar,scalar,427,433,scalar,true,"x. At this point, the result of the calculation `f(a)` is no longer a [[scalar]]. What happens to the result? How do we analyze this?
1. Redesign an e"
gold,S1,d2l_preliminaries_autograd_b061,d2l_preliminaries,target,active,gold:backpropagation,lan truyền ngược,105,121,lan truyền ngược,true,"kém hơn nhiều để tính so với đạo hàm bậc nhất? 1. Sau khi chạy hàm để [[lan truyền ngược]], hãy chạy lại ngay và xem điều gì xảy ra. 1. Trong ví dụ luồng điều k"
